model,role,cost_per_1k_attempted,cost_per_1k_successful,cost_per_1k_semantic,latency_p50_ms,latency_p90_ms,latency_p95_ms
openai:gpt-5.5,atomic_card_extractor,14.679333333333332,14.679333333333332,14.679333333333332,4161.0,6236.0,7072.0
openai:gpt-5.5,conflict_candidate_detector,9.131212121212121,9.131212121212121,9.131212121212121,3313.0,4470.0,4857.0
openai:gpt-5.5,conflict_explainer,17.201969696969694,17.201969696969694,17.201969696969694,5548.0,6438.0,6964.0
openai:gpt-5.5,debug_explainer,11.501249999999999,11.501249999999999,11.501249999999999,3762.0,5969.0,6128.0
openai:gpt-5.5,durability_filter,4.023055555555556,4.023055555555556,4.023055555555556,1983.0,2649.0,3389.0
openai:gpt-5.5,entity_candidate_ranker,9.597222222222221,9.597222222222221,9.597222222222221,3243.0,4243.0,4410.0
openai:gpt-5.5,entity_mention_extractor,3.1307894736842106,3.1307894736842106,3.1307894736842106,1421.0,2159.0,2624.0
openai:gpt-5.5,eval_judge,8.687916666666666,8.687916666666666,8.687916666666666,3272.0,4463.0,4463.0
openai:gpt-5.5,groundedness_checker,10.383194444444445,10.383194444444445,10.383194444444445,3265.0,4688.0,4782.0
openai:gpt-5.5,intent_router,9.356695906432748,9.356695906432748,9.356695906432748,3181.0,5642.0,6677.0
openai:gpt-5.5,memory_kind_classifier,4.265619047619047,4.265619047619047,4.265619047619047,1641.0,2676.0,3179.0
openai:gpt-5.5,open_loop_detector,2.9596190476190474,2.9596190476190474,2.9596190476190474,1389.0,2129.0,2491.0
openai:gpt-5.5,recall_planner,10.045357142857144,10.045357142857144,10.045357142857144,3313.0,5235.0,5658.0
openai:gpt-5.5,recall_synthesizer,11.20513888888889,11.20513888888889,11.20513888888889,3512.0,5458.0,5919.0
openai:gpt-5.5,relationship_extractor,3.2184761904761903,3.2184761904761903,3.2184761904761903,1480.0,2464.0,2772.0
openai:gpt-5.5,repair_option_generator,5.118495934959349,5.118495934959349,5.118495934959349,2349.0,4084.0,4621.0
openai:gpt-5.5,source_classifier,3.5946666666666665,3.5946666666666665,3.5946666666666665,1476.0,3115.0,3681.0
openai:gpt-5.5,source_takeaway_extractor,14.289444444444444,14.289444444444444,14.289444444444444,3936.0,7057.0,7299.0
openai:gpt-5.5,table_policy_handler,14.046666666666667,14.046666666666667,14.046666666666667,4153.0,7154.0,9600.0
