model,provider,role,role_category,records_total,operational_success_rate,json_parse_success_rate,schema_validity_rate,semantic_evaluable_rate,quality_pass_rate,semantic_score_mean,cost_per_1k_attempted,cost_per_1k_successful,cost_per_1k_semantic,zero_tolerance_failures,eligible,eligibility_state,rejection_reasons
openai:gpt-5.5,openai,atomic_card_extractor,runtime_or_support,45,1.0,1.0,1.0,1.0,0.3111111111111111,0.5281481481481483,14.679333333333332,14.679333333333332,14.679333333333332,9,False,failed_safety,zero_tolerance_failures_present;semantic_score_below_threshold;memory_card_quality_below_threshold
openai:gpt-5.5,openai,conflict_candidate_detector,runtime,33,1.0,1.0,1.0,1.0,0.9393939393939394,0.9515151515151515,9.131212121212121,9.131212121212121,9.131212121212121,0,False,insufficient_sample,semantic_evaluable_below_minimum;conflict_safety_below_threshold
openai:gpt-5.5,openai,conflict_explainer,support,33,1.0,1.0,1.0,1.0,0.18181818181818182,0.6727272727272727,17.201969696969694,17.201969696969694,17.201969696969694,24,False,failed_safety,zero_tolerance_failures_present;semantic_evaluable_below_minimum;semantic_score_below_threshold
openai:gpt-5.5,openai,debug_explainer,debug_admin,24,1.0,1.0,1.0,1.0,0.7916666666666666,0.9166666666666666,11.501249999999999,11.501249999999999,11.501249999999999,0,False,insufficient_sample,semantic_evaluable_below_minimum
openai:gpt-5.5,openai,durability_filter,support,90,1.0,1.0,1.0,1.0,0.8222222222222222,0.8222222222222222,4.023055555555556,4.023055555555556,4.023055555555556,0,False,failed_quality,semantic_score_below_threshold;durability_decision_below_threshold
openai:gpt-5.5,openai,entity_candidate_ranker,runtime_or_support,9,1.0,1.0,1.0,1.0,0.0,0.2,9.597222222222221,9.597222222222221,9.597222222222221,6,False,failed_safety,zero_tolerance_failures_present;records_total_below_minimum;semantic_evaluable_below_minimum;semantic_score_below_threshold;entity_safety_below_threshold
openai:gpt-5.5,openai,entity_mention_extractor,support,114,1.0,1.0,1.0,1.0,0.5175438596491229,0.9337719298245615,3.1307894736842106,3.1307894736842106,3.1307894736842106,0,True,eligible,
openai:gpt-5.5,openai,eval_judge,judge,12,1.0,1.0,1.0,1.0,0.5833333333333334,0.8875000000000001,8.687916666666666,8.687916666666666,8.687916666666666,0,False,insufficient_sample,semantic_evaluable_below_minimum
openai:gpt-5.5,openai,groundedness_checker,judge,36,1.0,1.0,1.0,1.0,0.8611111111111112,0.9375,10.383194444444445,10.383194444444445,10.383194444444445,0,True,eligible,
openai:gpt-5.5,openai,intent_router,runtime,171,1.0,1.0,1.0,1.0,0.8771929824561403,0.8771929824561403,9.356695906432748,9.356695906432748,9.356695906432748,0,True,eligible,
openai:gpt-5.5,openai,memory_kind_classifier,support,105,1.0,1.0,1.0,1.0,0.9428571428571428,0.9833333333333333,4.265619047619047,4.265619047619047,4.265619047619047,0,True,eligible,
openai:gpt-5.5,openai,open_loop_detector,support,105,1.0,1.0,1.0,1.0,0.819047619047619,0.819047619047619,2.9596190476190474,2.9596190476190474,2.9596190476190474,0,False,failed_quality,semantic_score_below_threshold
openai:gpt-5.5,openai,recall_planner,runtime,42,1.0,1.0,1.0,1.0,0.9761904761904762,0.9761904761904762,10.045357142857144,10.045357142857144,10.045357142857144,0,True,eligible,
openai:gpt-5.5,openai,recall_synthesizer,runtime,36,1.0,1.0,1.0,1.0,0.8611111111111112,0.9452380952380952,11.20513888888889,11.20513888888889,11.20513888888889,0,False,insufficient_sample,semantic_evaluable_below_minimum
openai:gpt-5.5,openai,relationship_extractor,runtime_or_support,105,1.0,1.0,1.0,1.0,0.9809523809523809,0.9933333333333333,3.2184761904761903,3.2184761904761903,3.2184761904761903,0,True,eligible,
openai:gpt-5.5,openai,repair_option_generator,support,123,1.0,1.0,1.0,1.0,1.0,1.0,5.118495934959349,5.118495934959349,5.118495934959349,0,True,eligible,
openai:gpt-5.5,openai,source_classifier,support,105,1.0,1.0,1.0,1.0,0.6761904761904762,0.8539682539682539,3.5946666666666665,3.5946666666666665,3.5946666666666665,17,False,failed_safety,zero_tolerance_failures_present;semantic_score_below_threshold;source_memory_split_below_threshold
openai:gpt-5.5,openai,source_takeaway_extractor,runtime_or_support,45,1.0,1.0,1.0,1.0,0.24444444444444444,0.7096296296296296,14.289444444444444,14.289444444444444,14.289444444444444,6,False,failed_safety,zero_tolerance_failures_present;semantic_score_below_threshold
openai:gpt-5.5,openai,table_policy_handler,support,45,1.0,1.0,1.0,1.0,0.2222222222222222,0.7577777777777778,14.046666666666667,14.046666666666667,14.046666666666667,8,False,failed_safety,zero_tolerance_failures_present;semantic_score_below_threshold
